Start Time = Sat Jun 18 09:39:02 2022
[3/501][600/1174]	Loss_D: 0.7669	Loss_G: 1.3746	D(x): 0.7460	D(G(z)): 0.3201 / 0.2555
[3/501][650/1174]	Loss_D: 0.7590	Loss_G: 3.9994	D(x): 0.9849	D(G(z)): 0.3927 / 0.0163
[3/501][700/1174]	Loss_D: 0.5877	Loss_G: 1.8812	D(x): 0.6391	D(G(z)): 0.0837 / 0.1471
[3/501][750/1174]	Loss_D: 1.6283	Loss_G: 6.5634	D(x): 0.9656	D(G(z)): 0.7280 / 0.0020
[3/501][800/1174]	Loss_D: 0.2765	Loss_G: 3.5400	D(x): 0.9171	D(G(z)): 0.0552 / 0.0308
[3/501][850/1174]	Loss_D: 0.8124	Loss_G: 0.5537	D(x): 0.5049	D(G(z)): 0.0569 / 0.6415
[3/501][900/1174]	Loss_D: 0.5213	Loss_G: 3.5356	D(x): 0.8891	D(G(z)): 0.2454 / 0.0262
[3/501][950/1174]	Loss_D: 0.2193	Loss_G: 4.9399	D(x): 0.9306	D(G(z)): 0.0072 / 0.0069
[3/501][1000/1174]	Loss_D: 0.2460	Loss_G: 4.6655	D(x): 0.8833	D(G(z)): 0.0086 / 0.0082
[3/501][1050/1174]	Loss_D: 0.3320	Loss_G: 3.4929	D(x): 0.7950	D(G(z)): 0.0244 / 0.0319
[3/501][1100/1174]	Loss_D: 0.2271	Loss_G: 4.3193	D(x): 0.9443	D(G(z)): 0.0157 / 0.0122
[3/501][1150/1174]	Loss_D: 0.2554	Loss_G: 4.1279	D(x): 0.9779	D(G(z)): 0.0247 / 0.0147
[4/501][0/1174]	Loss_D: 2.0928	Loss_G: 2.6444	D(x): 0.8952	D(G(z)): 0.7670 / 0.1028
[4/501][50/1174]	Loss_D: 0.6730	Loss_G: 1.8566	D(x): 0.5828	D(G(z)): 0.0906 / 0.1548
[4/501][100/1174]	Loss_D: 0.2615	Loss_G: 3.5958	D(x): 0.9042	D(G(z)): 0.0365 / 0.0264
[4/501][150/1174]	Loss_D: 0.2521	Loss_G: 3.8728	D(x): 0.9367	D(G(z)): 0.0325 / 0.0229
[4/501][200/1174]	Loss_D: 0.4422	Loss_G: 2.6902	D(x): 0.7218	D(G(z)): 0.0491 / 0.0653
[4/501][250/1174]	Loss_D: 0.3489	Loss_G: 2.9886	D(x): 0.9608	D(G(z)): 0.1198 / 0.0483
[4/501][300/1174]	Loss_D: 0.2772	Loss_G: 3.8753	D(x): 0.9280	D(G(z)): 0.0356 / 0.0172
[4/501][350/1174]	Loss_D: 1.0685	Loss_G: 0.5893	D(x): 0.4298	D(G(z)): 0.0873 / 0.5896
[4/501][400/1174]	Loss_D: 0.2930	Loss_G: 3.5476	D(x): 0.9386	D(G(z)): 0.0708 / 0.0245
[4/501][450/1174]	Loss_D: 0.2237	Loss_G: 5.0584	D(x): 0.9660	D(G(z)): 0.0077 / 0.0051
[4/501][500/1174]	Loss_D: 0.3965	Loss_G: 4.2088	D(x): 0.7152	D(G(z)): 0.0033 / 0.0149
[4/501][550/1174]	Loss_D: 0.2244	Loss_G: 4.4164	D(x): 0.9552	D(G(z)): 0.0123 / 0.0103
[4/501][600/1174]	Loss_D: 0.2154	Loss_G: 6.7133	D(x): 0.9403	D(G(z)): 0.0011 / 0.0009
[4/501][650/1174]	Loss_D: 0.4638	Loss_G: 2.8131	D(x): 0.9432	D(G(z)): 0.2152 / 0.0583
